product_name,price,number_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating,amazon_category_and_sub_category,description,description length,category
Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set,79.95,9,53,2,4.6,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Product Description Hornby R1138 GWR Passenger Freight OO Gauge Electric Train Set Versatile freight transport The versatile GWR 0-4-0 locomotive makes easy work of hauling the two open wagons and the small coach around the oval of track. The circuit includes an additional siding, providing an area where selected wagons can be deposited and collected again as the train travels the circuit. GWR Passenger Freight The train includes a 0-4-0 locomotive, two wagons and a four-wheel coach. It is operated using the R8250 train controller provided. Why choose a Hornby Analogue train set? Hornby's analogue sets represent the classic origins of Hornby's world famous model trains. In addition to track, a controller and an exquisitely detailed locomotive with carriages every Hornby set includes a Midimat (a pictorial bird's eye view of a fully sceniced layout) providing the new set owner the opportunity of seeing how by the addition of Hornby Track and Building packs a superb layout can be created. Track The track circuit sits easily on the 1600 x 1180 mm MiniMat, and by adding Hornby track and accessory packs can soon be developed into a very effective model railway layout. Extend your set in easy steps by adding track packs and TrakMat accessory packs all the way to the full layout pictured on your MidiMat. Fill out your MidiMat with additional track and building packs The track circuit in this set can be extended to fully complete the included MidiMat which, with additional Hornby Track and Building packs, can be simply and quickly built up into a truly fascinating and effective model railway layout. Additional track packs include R8221 Track Pack A, R8222 Track Pack B, R8223 Track Pack C, R8224 Track Pack D, R8225 Track Pack E, and R8226 Track Pack F. Additional building packs include R8227 Building Pack A, R8228 Building Pack B, R8229 Building Pack C, R8230 Building Pack D, and R8231 Building Pack E. Box Contains 1 x 0-4-0 locomotive1 x LWB open wagon1 x 4-wheel coach1 x 21 steel-sided wagon1 x UK transformer1 x Train controller1 x Buffer stop1 x Track LHPoint2 x Straight tracks2 x Double straight tracks1 x 2nd radius curve track8 x 3rd radius double curve tracks1 x Power track1 x Vacpipe acc bag1 x 0-4-0 locomotive instruction leaflet1 x Controller instruction leaflet1 x Trakmat (1600 x 1180 mm)",2330,Hobbies 
"KATO 70148015 N Portram TLR 601 Portram, grün",42.98,29,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Suitable for the following scale(s): N Scale,44,Hobbies 
Hornby Digital 15 V 4 Amp Transformer,28.99,6,5,1,4.6,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Product Description Hornby 15V 4 Amp transformer. Replacement transformer suitable for: Scalextric C7042: advanced 6 car powerbase, Scalextric C7056: 4 car powerbase or digital conversion kit, Hornby R8213: select controller, Hornby R8214: elite controller. Box Contains 1x Transformer",285,Hobbies 
Harry Potter - Diecast Hogwarts Express Train,59.99,5,4,1,4.8,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Manufacturer's Description Hogwarts Express from The Chamber Of SecretsThe Hogwarts Express departs from platform 9¾ at King's Cross station, carrying students to Hogsmeade where they are then taken to Hogwarts School of Witchcraft and Wizardry for the start of each new school term.",283,Hobbies 
Bachmann 31-169 L&YR 2-4-2 Tank 50795 BR Lined Black Early Emblem,96.0,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Suitable for the following scale(s): OO Scale,45,Hobbies 
Kato 8002 Koki 10000 Freight Wagon,35.2,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Suitable for the following scale(s): N Scale,44,Hobbies 
Gaugemaster Single Track Controller/ Plug in Transformer,39.03,3,6,1,4.8,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Transformers & Decoders,Gaugemaster Single Track Controller/ Plug in Transformer,56,Hobbies 
Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,98.5,9,6,1,4.7,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Product Description Hornby Railroad '00' Gauge R3284TTS LNER Class A1 'Flying Scotsman' with TTS Sound Steam Locomotive Box Contains 1 x Railroad Steam Sound Locomotive,168,Hobbies 
Kato 10-847 E259 Narita Express 3 Car Powered Set,51.61,33,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Suitable for the following scale(s): N Scale,44,Hobbies 
Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,30.99,7,38,1,4.6,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,"Product Description The BR 0-4-0ST loco in the famous 'Smokey Joe' livery.Young or old, keen modeller or just a beginner, the Hornby RailRoad range answers the needs of many and is a perfect complement to the variety of locomotives, rolling stock, track, buildings, and accessories that can be found in the current Hornby catalogue. Devoid of easily damaged detail parts the suitably livered RailRoad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running. All the RailRoad models are fitted with the standard Hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard Hornby and Thomas & Friends ranges. With this in mind it is easy to see that those models that make up the Hornby RailRoad range are a simple and cost effective way of adding to a train set providing a suitable and most appropriate stepping stone into the varied and fascinating World of model railways.The introductory range offers not only a selection of individual locomotives, rolling stock and accessories but an assortment of train and wagon packs ideally suited for either train set rolling stock enhancements or for those who wish to experiment and try their hands at developing their modelling techniques!This locomotive is suitable with analogue train layouts only and is not DCC compatible. Box Contains 1 x locomotive",1428,Hobbies 
Roco 10908 Seuthe Smoke Oil,6.5,2,3,1,4.7,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Suitable for the following scale(s): / Scale,44,Hobbies 
Subway train 500 form three-car basic set red gauge N 10-1134 Marunouchi Line,45.75,13,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Corporation representing the subway era, it will reproduce the appearance of the heyday of the Marunouchi Line 500 form, in 1985's. the world by storm was, red white band worked contrast to the body, decorative band of sine curve. Accurately reproduce the nostalgic design. So that customers can enjoy with ease, and divided into three both basic set and a three-car hematopoiesis set. Subway finest cars are revitalized at hand. Three-car compact organization of, the running, the exhibition, either to perfect. To 6-car train of exactly the real thing together. The top car of the basic set of head / tail lights and front destination display ""Ikebukuro"" lights. ""Ogikubo"" is included for the destination display exchange. For all vehicles of hematopoiesis set also of the top car, it is also ideal for the collection and exhibitions. (Head / tail lights non-lighting, motor vehicles are not included). Adopt proven flywheel power unit. You can enjoy a stable nimble running. The intermediate connecting part, as standard body-mounted KATO coupler Mitsuren form. Achieve a smooth running and feeling ligation surface. Package paper box of the four-car type. Special binding dedicated package of who designed the underground tunnels and distinctive red body. (From Amazon.co.jp)",1279,Hobbies 
Dapol B800 Motorised Track Cleaning Wagon,74.6,4,7,1,4.6,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Suitable for the following scale(s): HO Scale OO Scale,54,Hobbies 
Hornby R1174 Breakdown Hauler Train Set,74.99,3,4,1,4.8,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Rescue stranded trains with the Hornby Breakdown Hauler. This fantastic set comes with a 0-4-0 steam engine, breakdown crane and a utility van. Lay down the Hornby mat and piece together the oval track. Then power it with the transformer and watch the train chug along the rails. Great for youngsters and enthusiasts alike, this detailed set includes: 0-4-0 Locomotive Breakdown crane Support van 3rd Radius starter oval with track pack A P9200 Wall transformer R8250 Train controller 155cm by 113cm Power track Hornby MidiMat Suitable for rail lovers aged six and up.",568,Hobbies 
[NEW] Pureoroko C-58 water steam [NEW],27.6,19,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Product introduction Put the water in the bottle, if the switch to ON, from the chimney, steam comes out like smoke. The travels while moving to the real piston, it changes direction and hits an obstacle, it continues to run. By turning to after the lever on the front wheel, you can also play with the roll. [] Use battery: 3 single 2 x (sold separately) Product Description mystery traveling (traveling rolled reshuffling)! The mystery travel, and that it travels back to the run freely, and hits the walls. Kemudashi! Put the water in the bottle of the body under, issue the water vapor. It's based on the idea to eject the smoke at the same time as the whistle sound. flashing lights at the same time as the whistle! Three use C battery (battery not included) Product size: [Product Specifications] power 334mm x 164mm x 105mm",830,Hobbies 
Kato 11-105 Small Type Moter Unit (for Bandai's B-train Shorty),11.01,27,3,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Suitable for the following scale(s): N Scale,44,Hobbies 
Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution,100.0,2,1,1,4.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution,60,Hobbies 
Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR,15.75,3,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR - This item is NOT a toy and is intended for modelling use - Scale - 1:87,136,Hobbies 
Hornby 00 Gauge 152mm GNR 0-6-2T Steam Locomotive Model,89.99,3,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,"Product Description Hornby Class N2 DCC Ready 00 Gauge GNR 0-6-2T steam locomotive train model. These spritely suburban passenger locomotives designed by Sir Nigel Gresley were first introduced on to the Great Northern Railway in November 1920. The majority of the class were working out of London, Kings Cross and Moorgate however some would have been seen in the Glasgow area. Only one of the class survives which currently can be seen in the GNR Apple Green livery. Class: N2, designer: sir nigel gresley, entered service: 1920, number built: 107, purpose: suburban passenger, wheel configuration: 0-6-2T, length: 152mm, motor: 5 pole skew wound, DCC ready, livery: GNR, finish: pristine. Box Contains 1x Locomotive Model",724,Hobbies 
Dapol C102A 57ft Stanier Corridor Brake LMS Maroon Lined 5530 Kit,12.3,2,1,1,4.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Suitable for the following scale(s): OO ScaleThe picture shows a finished model complete with paint, please note that this is an unpainted kit and will require assembly and painting.",182,Hobbies 
Corgi 1:120 Scale Rail Legends 'Trigo' A3 Class Die Cast Stream Locomotive,14.99,12,6,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,"Product Description Trigo entered traffic on the 22nd February 1930 and was allocated to Gateshead engine shed. Originally numbered as LNER 2595, Trigo was the eleventh of twenty-seven A3s to be built as an A3, the other fifty-one were A1s that were later converted to A3s. All the A1 and A3 Class locomotives were named after famous race horses. Trigo was an Irish born race horse who won the Epsom Derby in 1929 making the horse famous and inspiring the LNE R to name one of their new locomotives after him. Trigo is modelled here as British Rail (BR) 60084 in BR blue from the era of June 1949 to August 1952, during this period Trigo pulled a Streamline type tender and was based at the Neville Hill shed in Leeds. Sadly Trigo was withdrawn from service on the 23rd November 1964 and was later sold for scrap in January 1965. Box Contains 1 x die cast locomotive",866,Hobbies 
Märklin my world Battery Operated Signal,7.99,10,1,1,5.0,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Signal & Sound,"Product Description Battery-Operated Signal. Gauge: H0. This battery-operated signal made of sturdy plastic is just right for children. It has a green and a red LED that light up. This color light signal can be switched between the green and red LED lights either by pressing a button or it takes place automatically after 7 seconds. The battery holder is built into the base of the signal. 2 AAA batteries are included with the signal. The signal stands approximately 12 cm / 4-3/4"" high. Since this signal is a toy for children ages 3 and above, is has no influence over the running of trains on the layout! Box Contains 1 x Battery-Operated Signal",650,Hobbies 
Bachmann 35-077 Class E4 0-6-2 32556 BR Black Early Emblem,104.66,4,2,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Suitable for the following scale(s): OO Scale,45,Hobbies 
Thomas and Friends Track Master Dockside Delivery Crane Cargo and Cars Set,13.87,6,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,"Trackmaster Revolution Dockside Delivery Crane - BDP01 Cargo and Cars provide the perfect addition to your Thomas and Friends Track Master motorized railway. Use the removable cargo pieces to build a spinning crane then send your engines past. With buildable play and three cargo cars, the Dockside Delivery Crane brings even more adventure to your expandable Track Master world! Contents: Brown Brendam Bay Shipping Co. Truck with crane body and barrier Blue Brendam Bay Shipping Co. Truck with crane base Orange Slate Truck with crane arm and cargo Age Range 3-5 years Suitable Age From Suitable from 3 years",610,Hobbies 
20Pcs Single-Head Model Garden Lights Lamppost Lamp Layout Scale: 1/100--Black,2.98,6,4,1,5.0,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Lamps & Lighting,"These delicate model garden lights are mainly used in teaching, photography, and various kinds of scene model. Each of them is completed with wires and has single heads, which can be lighten with 6V power. Light up your model layout with this great model lamppost! Decsription: A pack of 20pcs model garden lights lamppost Each has single heads, completed with wires and bulbs Mainly used to decorate your model layout Voltage: 6V Scale: 1:100 Height: Approx: 6cm Material: Plastic Color: white and black Note: Please take note that we have 2 kinds in stock. (Please refer to the pictures) We will send one kind at random. Package Include: 20 x model garden lights 1:100",670,Hobbies 
Hornby 00 Gauge BR Peppercorn Class A1 Tornado Mainline Blue Sound Steam Locomotive,129.95,3,9,1,4.2,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,"Product Description Hornby '00' Gauge R3245TTS BR Peppercorn Class A1 ""Tornado"" Mainline Blue Sound Steam Locomotive Box Contains 1 x Steam Sound Locomotive",156,Hobbies 
Hornby '00' Gauge R3169 RailRoad GWR 4-6-0 'Olton Hall' 4900 Hall Class Locomotive,65.76,9,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Product Description RailRoad GWR 4-6-0 'Olton Hall' 4900 Hall Class Box Contains 1x Locomotive,94,Hobbies 
Hornby R3162A BR 2-BIL 2 Car EMU Pack,116.1,5,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,"Suitable for the following scale(s): OO ScaleThe Southern Railway (SR) was established in 1923, linking London with the Channel ports, South West England, South coast resorts in Kent. It was the smallest of the 'Big Four' railway regions with most of it's revenue coming from passenger traffic rather than freight in the more densely populated region of southern England. A number of famous 'named' trains were operated by SR including the Brighton Belle, Bournemouth Belle, Golden Arrow, the Night Ferry (London - Paris and Brussels), Atlantic Coast Express and the Devon Belle. Both Richard Maunsell and Oliver Bulleid served as Chief Mechanical Engineers to the SR between 1923 and 1948 and both designed new locomotives and rolling stock to replace those inherited in 1923. The electrification of the region began in 1929 under the management of Sir Herbert Walker. On completion it was the world's largest electrified railway system. Southern Railway gave the designation 2-BIL to the DC third rail electric multiple units built during the 1930s. The formation was a 2-car set: MBTL-DTCL, and were called 2-BIL (2-car Bi-Lavatory stock) because each set had two lavatories, one in each car. They were built to work long distance semi-fast services on the newly electrified lines from London to Eastbourne, Portsmouth and Reading. Between 1935 and 1938, a total of 152 sets of the Class 2-BIL were built in 4 batches and were numbered 2001-2152. Numbers 2001-2010 in 1935 for service on the London to Eastbourne sector. Numbers 2011-2048 in 1936 for the London Waterloo to Alton and Portsmouth slow service. Numbers 2049-2116 in 1937 for the Portsmouth to Bognor Regis service and numbers 2117-2152 in 1938 for the London Waterloo to Reading route.",1752,Hobbies 
Hornby 00 Gauge 152mm BR 0-6-2T Steam Locomotive Model,89.99,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,"Product Description Hornby Class N2 DCC Ready 00 Gauge BR 0-6-2T steam locomotive train model. These spritely suburban passenger locomotives designed by Sir Nigel Gresley were first introduced on to the Great Northern Railway in November 1920. The majority of the class were working out of London, Kings Cross and Moorgate however some would have been seen in the Glasgow area. Only one of the class survives. Class: N2, designer: sir nigel gresley, entered service: 1920, number built: 107, purpose: suburban passenger, wheel configuration: 0-6-2T, length: 152mm, motor: 5 pole skew wound, DCC ready: DCC ready, livery: BR (late), finish: pristine. Box Contains 1x Locomotive Model",682,Hobbies 
Power Trains 2 Pack - Graffiti Freight,8.99,3,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Collectible cars that are perfect for any Power Trains collection. Completely compatible, works on all track and with all engines.",130,Hobbies 
Carousel Wooden Train Set (100 Piece),36.35,5,8,1,4.1,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"This sustainably sourced wooden Carousel train set guarantees hours of fun for all the family, with an assortment of different track formations, bridges to build, plus trains and carriages to race around the track. It's compatible with other kinds of wooden sets too, so you can mix and match. Warning: Suitable from 3 years. Not suitable for children under 36 months - contains small parts which could be swallowed. Height 30.5cm, Width 45.7cm, Depth 10.2cm. Weight 2.75kg.",474,Hobbies 
Hornby '00' Gauge R3231 BR 0-6-0 J15 Class - Early BR Steam Locomotive,105.0,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Product Description BR 0-6-0 J15 Class - Early BR Box Contains 1x Steam Locomotive,82,Hobbies 
Walthers Trainline 931-1676 TL 50' PD Boxcar ATSF,15.0,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Suitable for the following scale(s): HO ScaleTL 50' PD Boxcar ATSF1Walthers Trainline,85,Hobbies 
"Series 225-5000 [Kansai Airport, Kishu-ji Rapid Service] (4-Car Set) (Model Train)",163.88,5,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"N-gauge, 1/150 scale",20,Hobbies 
Lightweight HyDroc,14.57,6,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Lightweight Hydrocal has been specially formulated for terrain model builders. It is half the weight of Hydrocal and goes twice as far. It is the tough, quick-setting product you will prefer. Use it for casting rocks, creating a hard shell terrain, filling in around castings and as an adhesive.",295,Hobbies 
Hornby '00' Gauge R4526 RailRoad Night Mail Operating Mail - GWR Chocolate and Cream Coach,21.95,6,4,1,4.8,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Product Description RailRoad Night Mail Operating Mail Coach Box Contains 1x Coach,82,Hobbies 
Hornby West Coast Highlander,49.99,4,18,1,4.6,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Bring the history of the railways to life with the Hornby West Coast Highlander. Relive the golden age when this freight train chugged across the British countryside, delivering goods to rural towns and villages. Great for youngsters and enthusiasts alike, this detailed set includes: 4-Wheel locomotive 4 x Cargo wagons 160 x 128cm TrakMat 155 x 113cm Oval track Accessories including telegraph poles, water pump, signals and sheds Standard train controller with mains power supply Suitable for rail lovers aged six and up.",524,Hobbies 
